genusName,speciesName,familyName,volume,typeMonoOrDio,Biome,Elevation,seedLongevity,viability,seedBank,growth,pollinationTimeLocation1,floweringTimeLocation2,floweringDuration,reproductiveBud,pollination,mainSeedDropTime,seedDispersal,seedPredator,lifeSpanMax,reprodAge,seedDormancy,seedType,stratification,seedSize,seedWeights,bestReproductionPeriod,fruitType,oilContent,proteinContent,determinacy,modeDispersal,mastEvent,mastCycle,leafLongevity,criticalEnvironmentalCue,note,shadeTolerance,soil,climate
Abies,amabilis,Pinaceae,1,Monoecious,Temperate,,,,,slow-growing,May,,two weeks,early July,wind,Sep to Oct,wind,,590,20 to 30,Y,Orthodox,cold moist,,46.21,,cone,,,,Most sound seeds fall within 114 m (375 ft) of stand edge,Y,3,,soil moisture,,tolerant,,
Abies,balsamea,Pinaceae,1,Monoecious,Temperate,,15,,,slow-growing,late May to early June,,,spring,wind,Sep to Oct,wind,rodents,200,20 to 30,Y,Orthodox,cold moist,,7.62,,cone,11.70%,,,Commonly 25每60 m (80每200 ft),Y,2 to 4,,,,tolerant,"well-drained, acid, moist soil",
Abies,concolor,Pinaceae,1,Monoecious,Temperate,,21,,,slow-growing,late May to early June,,several weeks,,wind,Sep,wind,,350,40,N,Orthodox,,,37.05,,cone,,,,1.5 to 2 times tree height,Y,6,,drought and cold-tolerant,,tolerant,"well-drained, gravelly or sandy-loam soils",
Abies,fraseri,Pinaceae,1,Monoecious,Temperate,,,,,slow-growing,mid-May to early June,,several weeks,prior growing season,wind,Sep to Oct,wind,insects,150,15,Y,Orthodox,No,,8.15,,cone,,,,Up to 1.6 km (1 mile); 50% fall over 274 m (900 ft),Y,2,,,,tolerant,,
Abies,grandis,Pinaceae,1,Monoecious,Temperate,both,16,,,slow-growing,April,,two weeks,prior growing season,wind,Sep to Oct,"wind, animals",insects,300,20,Y,Orthodox,cold,,28.1,,cone,,,,"Typically 45每60 m (150每200 ft), can reach up to 120 m (400 ft)",Y,2 to 3,,frost,,tolerant,,moderately moist habitats
Abies,lasiocarpa,Pinaceae,1,Monoecious,Temperate,middle to high,9,,,slow-growing,late spring to early summer,,,prior growing season,wind,Sep to Oct,"wind, animals","rodents, insects",250,20,Y,Orthodox,cold moist,,11.35,,cone,,,,Commonly ≒30 m from timber edge,Y,3,,,,tolerant,"Moist to dry, gravelly or sandy loams.",cool and moist sites
Abies,magnifica,Pinaceae,1,Monoecious,Temperate,1370-3000,16,,,slow-growing,"May to June, California","mid-June to late June, southwestern Oregon",several weeks,cones form on 1-year-old branches,wind,late Sep to mid-Oct,wind,insects,600,35 to 45,Y,Orthodox,,,84,,cone,,,,1.5每2℅ tree height,Y,2 to 6,,low drought tolerance,,,"well-drained, acid, moist soil",cold wet winters and warm dry summers
Abies,procera,Pinaceae,1,Monoecious,Temperate,706-2425,16,,,slow-growing,May to June,,one month,cones form on 1-year-old branches,wind,late Sep to early Oct,wind,insects,700,20,N,Orthodox,,,34.93,,cone,,,,"Most seeds fall within 1每2 tree heights; max potential: ~600 m (2,000 ft)",Y,6,,,"poor seed quality due to inadequate pollen, poor synchrony between female receptivity and pollen shedding, selfing, insects.",intolerant,,cool summers and mild wet winters
Chamaecyparis,lawsoniana,Pinaceae,1,Monoecious,Temperate,0-2000,16,,,slow-growing,mid-March,,,Late spring每summer (1 year before pollination),wind,Sep to Oct,"wind, water",rodents,560,5 to 20,Y,Orthodox,,"463,000/kg",3.38,,cone,24.70%,11.9,,~80每110 m (260每360 ft) from parent trees,Y,4 to 5,,little drought resistance,,tolerant,"Well-drained, sandy loam, dry soil",
Chamaecyparis,nootkatensis,Pinaceae,1,Monoecious,Temperate,0-7500 (high),,,,slow-growing,"April, south","June, north",two weeks,summer before pollination,wind,mid-Sep to early Dec,wind,,700,,Y,Orthodox,warm+cold,"240,000/kg",4.19,,cone,,,,less than 120 m,Y,4,,,low seed viability,tolerant,,wet cool summers?
