"","term","estimate","std_error","z_value","p_value","alpha","N","trait","model_formula"
"1","(Intercept)",1.95515440795232,0.820571224282362,2.38267483686407,0.0171873682572543,54.5159068767618,59,"Seed weight (log)","mastEvent ~ logSeedWeight"
"2","logSeedWeight",-0.0210939071026829,0.246119113572117,-0.0857060908294797,0.931700060165942,54.5159068767618,59,"Seed weight (log)","mastEvent ~ logSeedWeight"
"3","(Intercept)",1.95455865117687,0.668041350099871,2.92580489349151,0.00343566331927639,54.1431332583815,60,"Fruit size (log)","mastEvent ~ logFruit"
"4","logFruit",0.0277141693071498,0.355404754148651,0.0779791744022595,0.937844618959957,54.1431332583815,60,"Fruit size (log)","mastEvent ~ logFruit"
"5","(Intercept)",1.53951354973653,0.947102140755002,1.6254989652006,0.10405628414875,1.94764861477398,60,"Seed dispersal","mastEvent ~ seedDispersal"
"6","seedDispersalbiotic",-0.83019855755797,0.807006930733572,-1.02873782856278,0.303602888738143,1.94764861477398,60,"Seed dispersal","mastEvent ~ seedDispersal"
"7","seedDispersalboth",-1.106917673128,0.665990267961299,-1.66206283541718,0.0965001762902414,1.94764861477398,60,"Seed dispersal","mastEvent ~ seedDispersal"
"8","(Intercept)",1.32792268395432,0.595687270867494,2.22922790010348,0.0257987450704274,48.0412430041586,59,"Seed dormancy","mastEvent ~ seedDormancy"
"9","seedDormancyY",0.685331409972112,0.689477013312076,0.993987321897724,0.320229039761289,48.0412430041586,59,"Seed dormancy","mastEvent ~ seedDormancy"
"10","(Intercept)",0.802667438290317,1.13570498505083,0.706756991345242,0.47971750606624,0.889121334513148,61,"Reproductive type","mastEvent ~ typeMonoOrDio"
"11","typeMonoOrDioMonoecious",-1.12872869521646,1.01002952699197,-1.11752049326517,0.263771842260354,0.889121334513148,61,"Reproductive type","mastEvent ~ typeMonoOrDio"
"12","(Intercept)",0.382794980080112,1.67041775542733,0.229161225589454,0.818743608183519,0.018323048443626,52,"Drought tolerance","mastEvent ~ droughtTolerance"
"13","droughtToleranceLow",11.3552582352384,98.1558013353884,0.11568606318478,0.90790135205157,0.018323048443626,52,"Drought tolerance","mastEvent ~ droughtTolerance"
"14","droughtToleranceModerate",-0.287713224682433,0.5987045609852,-0.480559600563232,0.630829534083308,0.018323048443626,52,"Drought tolerance","mastEvent ~ droughtTolerance"
"15","(Intercept)",1.32471201337243,1.36926755710289,0.967460308615843,0.333313973988938,54.498216310185,38,"Leaf longevity (years)","mastEvent ~ leafLongevity"
"16","leafLongevity",0.147007989052549,0.344875264958792,0.42626422938773,0.669915319862339,54.498216310185,38,"Leaf longevity (years)","mastEvent ~ leafLongevity"
"17","(Intercept)",2.00454763544131,0.467717340544449,4.28580995758658,1.82074589444611e-05,54.5608839893447,61,"Masting only","mastEvent ~ 1"
"18","(Intercept)",-1.18060806744901,0.460579773141208,-2.56330854348449,0.0103679865425431,8.53496441428952,91,"Seed weight (log)","mastEvent ~ logSeedWeight"
"19","logSeedWeight",0.212662421121228,0.0918960849292108,2.31416192849832,0.0206588414596606,8.53496441428952,91,"Seed weight (log)","mastEvent ~ logSeedWeight"
"20","(Intercept)",-0.357101947773142,0.380619896645835,-0.938211456941842,0.348135751723556,19.038633174745,88,"Fruit size (log)","mastEvent ~ logFruit"
"21","logFruit",0.0809341593264114,0.308017438633219,0.262758367466285,0.792736826166911,19.038633174745,88,"Fruit size (log)","mastEvent ~ logFruit"
"22","(Intercept)",-2.1155451701487,1.04339043050192,-2.02756811669341,0.042604345809444,18.8107064810226,19,"Oil content (%)","mastEvent ~ oilContent"
"23","oilContent",0.0338385496185107,0.0273166880716758,1.23875008308922,0.215438064951988,18.8107064810226,19,"Oil content (%)","mastEvent ~ oilContent"
"24","(Intercept)",-0.489797591860052,0.453159256497527,-1.08085090359999,0.27976344094874,12.1890289194522,85,"Seed dormancy","mastEvent ~ seedDormancy"
"25","seedDormancyY",0.0524812685739937,0.511390530154083,0.102624639056537,0.918260886944404,12.1890289194522,85,"Seed dormancy","mastEvent ~ seedDormancy"
"26","(Intercept)",-0.755365170355121,0.413027507922781,-1.82884954601218,0.0674221503081944,8.10680832177918,93,"Dispersal mode","mastEvent ~ seedDispersal"
