"term","estimate","std_error","z_value","p_value","N","trait","model_formula"
"(Intercept)",0.352941176470588,0.0732086546449684,4.82103076722563,1.42818325491218e-06,153,"Seed dispersal","mastEvent ~ seedDispersal * group"
"seedDispersalbiotic",0.285947712418301,0.102084591562972,2.80108592335319,0.00509309562588374,153,"Seed dispersal","mastEvent ~ seedDispersal * group"
"seedDispersalboth",0.29923273657289,0.115248673584897,2.59640937518004,0.0094203752604494,153,"Seed dispersal","mastEvent ~ seedDispersal * group"
"groupconifer",0.580392156862745,0.132316753444499,4.38638450350274,1.1525031629747e-05,153,"Seed dispersal","mastEvent ~ seedDispersal * group"
"seedDispersalbiotic:groupconifer",-0.330392156862745,0.206921499222181,-1.5967028950819,0.11033195001981,153,"Seed dispersal","mastEvent ~ seedDispersal * group"
"seedDispersalboth:groupconifer",-0.343677181017334,0.174620243986477,-1.96814053841289,0.049051869625781,153,"Seed dispersal","mastEvent ~ seedDispersal * group"
"(Intercept)",0.176470588235294,0.0954077744571996,1.84964578871358,0.0643646187045833,113,"Pollination","mastEvent ~ pollination * group"
"pollinationwind",0.468690702087286,0.118719904096622,3.94786961507176,7.88497256138803e-05,113,"Pollination","mastEvent ~ pollination * group"
"pollinationwind and animals",0.323529411764706,0.218606674168696,1.47996127288887,0.138883582090541,113,"Pollination","mastEvent ~ pollination * group"
"groupconifer",0.240084611316764,0.0867673583114154,2.76699228821834,0.00565760934575908,113,"Pollination","mastEvent ~ pollination * group"
"(Intercept)",0.458333333333333,0.0899775536476026,5.09386302197543,3.50840291723941e-07,144,"Seed dormancy","mastEvent ~ seedDormancy * group"
"seedDormancyY",0.0990437158469945,0.106213256993763,0.932498622585413,0.351078898194243,144,"Seed dormancy","mastEvent ~ seedDormancy * group"
"groupconifer",0.354166666666667,0.142267003908209,2.48945051865418,0.0127940726504873,144,"Seed dormancy","mastEvent ~ seedDormancy * group"
"seedDormancyY:groupconifer",-0.00456697166094803,0.167164205618909,-0.0273202725669606,0.978204287732392,144,"Seed dormancy","mastEvent ~ seedDormancy * group"
"(Intercept)",0.294117647058824,0.10194754016875,2.88499012896223,0.00391425934631974,150,"Mono/Dio","mastEvent ~ typeMonoOrDio * group"
"typeMonoOrDioMonoecious",0.351043643263757,0.115078568866768,3.05046931605639,0.00228484025525151,150,"Mono/Dio","mastEvent ~ typeMonoOrDio * group"
"typeMonoOrDioPolygamous",-0.0941176470588235,0.167516902297765,-0.56183970553328,0.574225236928582,150,"Mono/Dio","mastEvent ~ typeMonoOrDio * group"
"groupconifer",0.53921568627451,0.199602071535908,2.70145335729898,0.0069037162870036,150,"Mono/Dio","mastEvent ~ typeMonoOrDio * group"
"typeMonoOrDioMonoecious:groupconifer",-0.293467885688,0.21425040925372,-1.3697424742861,0.170767304895806,150,"Mono/Dio","mastEvent ~ typeMonoOrDio * group"
"(Intercept)",0.483247418081085,0.044483590106006,10.8634985829491,1.72029531895123e-27,150,"Seed weight (log)","mastEvent ~ logSeedWeightStd * group"
"logSeedWeightStd",0.181066586364769,0.0383349530452789,4.72327659175438,2.3207487582713e-06,150,"Seed weight (log)","mastEvent ~ logSeedWeightStd * group"
"groupconifer",0.395541155658241,0.0790276305362236,5.00509951993232,5.58331775537133e-07,150,"Seed weight (log)","mastEvent ~ logSeedWeightStd * group"
"logSeedWeightStd:groupconifer",-0.187881596846846,0.104787365473607,-1.79297948753343,0.0729762040459477,150,"Seed weight (log)","mastEvent ~ logSeedWeightStd * group"
"(Intercept)",0.558069620468818,0.0489919845449161,11.3910392822968,4.63428904580555e-30,148,"Fruit size (log)","mastEvent ~ logFruitStd * group"
"logFruitStd",0.04450884254701,0.0559869733952553,0.794985687702524,0.426621827633892,148,"Fruit size (log)","mastEvent ~ logFruitStd * group"
"groupconifer",0.341619729098982,0.0776080194410638,4.40186119371865,1.07326214590416e-05,148,"Fruit size (log)","mastEvent ~ logFruitStd * group"
"logFruitStd:groupconifer",-0.0437615390687396,0.0765816505756146,-0.571436352439683,0.567703893049969,148,"Fruit size (log)","mastEvent ~ logFruitStd * group"
"(Intercept)",0.537010893665993,0.0534488193568963,10.0471984250987,9.45162617381901e-24,120,"Seed size (log)","mastEvent ~ logSeedSizeStd * group"
"logSeedSizeStd",0.00564594224061859,0.0435250945609982,0.129716943697988,0.896790376700947,120,"Seed size (log)","mastEvent ~ logSeedSizeStd * group"
"groupconifer",0.342526993285295,0.0847817273964293,4.04010396820153,5.34275117707405e-05,120,"Seed size (log)","mastEvent ~ logSeedSizeStd * group"
"logSeedSizeStd:groupconifer",0.00943406211646386,0.12911445940005,0.0730674330381015,0.941752457033657,120,"Seed size (log)","mastEvent ~ logSeedSizeStd * group"
"(Intercept)",0.0405239923559773,0.15088461006721,0.268576048530902,0.788255945772193,26,"Oil content %","mastEvent ~ oilContent * group"
"oilContent",0.00827803652853698,0.00453910287046211,1.82371644018154,0.0681949521033458,26,"Oil content %","mastEvent ~ oilContent * group"
"groupconifer",0.959476007644023,0.314161662775279,3.05408368152909,0.00225749101213415,26,"Oil content %","mastEvent ~ oilContent * group"
"oilContent:groupconifer",-0.00827803652853698,0.00941409457593159,-0.879323705723214,0.379225786074733,26,"Oil content %","mastEvent ~ oilContent * group"
"(Intercept)",0.589629493449857,0.175600356006085,3.35779213015619,0.000785676733875232,54,"Leaf longevity (years)","mastEvent ~ leafLongevity * group"
"leafLongevity",-0.035726970781607,0.192475853392305,-0.185617936753802,0.852744386515281,54,"Leaf longevity (years)","mastEvent ~ leafLongevity * group"
"groupconifer",0.235061619818674,0.238779101312394,0.984431294559331,0.32490349733153,54,"Leaf longevity (years)","mastEvent ~ leafLongevity * group"
"leafLongevity:groupconifer",0.0539988392903745,0.196359299704805,0.275000162312421,0.783316113606179,54,"Leaf longevity (years)","mastEvent ~ leafLongevity * group"
"(Intercept)",0.567969647988506,0.0697915081081279,8.13809105698864,4.01558799058779e-16,131,"Drought tolerance","mastEvent ~ droughtTolerance + group"
"droughtToleranceLow",-0.000750718390804553,0.0925733997658596,-0.00810943956582885,0.993529674291755,131,"Drought tolerance","mastEvent ~ droughtTolerance + group"
"droughtToleranceModerate",-0.105642061781609,0.0953832719960815,-1.10755334316849,0.268054762729315,131,"Drought tolerance","mastEvent ~ droughtTolerance + group"
"groupconifer",0.352316810344828,0.0801645538981953,4.39492011384796,1.10813497994627e-05,131,"Drought tolerance","mastEvent ~ droughtTolerance + group"
