"term","estimate","std_error","z_value","p_value","alpha","trait","model_formula"
"(Intercept)",1.54239260761758,0.950363823176562,1.62294962203231,0.104600174592752,0.0152282959276925,"Seed dispersal (conifer)","mastEvent ~ seedDispersal"
"seedDispersalbiotic",-0.829687469976345,0.806606753774064,-1.02861458336951,0.303660822312895,0.0152282959276925,"Seed dispersal (conifer)","mastEvent ~ seedDispersal"
"seedDispersalboth",-1.10590469829897,0.66600965961619,-1.66049348133522,0.0968152181975726,0.0152282959276925,"Seed dispersal (conifer)","mastEvent ~ seedDispersal"
"(Intercept)",-0.770920701377568,0.414065635338739,-1.86183212414354,0.0626267569015123,0.0588536743767187,"Seed dispersal (angio)","mastEvent ~ seedDispersal"
"seedDispersalbiotic",0.54864421184953,0.532821547306355,1.02969599225701,0.30315273752323,0.0588536743767187,"Seed dispersal (angio)","mastEvent ~ seedDispersal"
"seedDispersalboth",0.552353753249686,0.566770859959997,0.974562724146882,0.329777211397175,0.0588536743767187,"Seed dispersal (angio)","mastEvent ~ seedDispersal"
"(Intercept)",-0.770920701377568,0.414065635338739,-1.86183212414354,0.0626267569015123,0.0588536743767187,"Pollination (angio)","mastEvent ~ seedDispersal"
"seedDispersalbiotic",0.54864421184953,0.532821547306355,1.02969599225701,0.30315273752323,0.0588536743767187,"Pollination (angio)","mastEvent ~ seedDispersal"
"seedDispersalboth",0.552353753249686,0.566770859959997,0.974562724146882,0.329777211397175,0.0588536743767187,"Pollination (angio)","mastEvent ~ seedDispersal"
"(Intercept)",1.35892801645167,0.601164054064333,2.2604944644715,0.0237905796030054,0.411217928313247,"Seed dormancy (conifer)","mastEvent ~ seedDormancy"
"seedDormancyY",0.706463551544245,0.70342402056906,1.00432105086876,0.315223890181763,0.411217928313247,"Seed dormancy (conifer)","mastEvent ~ seedDormancy"
"(Intercept)",-0.4481166218101,0.442947717806292,-1.01166933205889,0.311696183605615,0.0961437292898092,"Seed dormancy (angio)","mastEvent ~ seedDormancy"
"seedDormancyY",0.0338602251967423,0.497137851542813,0.0681103341692064,0.945697803984819,0.0961437292898092,"Seed dormancy (angio)","mastEvent ~ seedDormancy"
"(Intercept)",0.868137167419011,1.14056785336853,0.761144691966441,0.446570648884457,0.00735889746748815,"Mono/Dio (conifer)","mastEvent ~ typeMonoOrDio"
"typeMonoOrDioMonoecious",-1.13494507687631,1.0169613637546,-1.11601592481952,0.264415318075671,0.00735889746748815,"Mono/Dio (conifer)","mastEvent ~ typeMonoOrDio"
"(Intercept)",-0.928037794092762,0.597750293350438,-1.55255096386659,0.120530448293781,0.110364177904811,"Mono/Dio (angio)","mastEvent ~ typeMonoOrDio"
"typeMonoOrDioMonoecious",0.904071856547496,0.679810104982619,1.3298888173641,0.183554906400676,0.110364177904811,"Mono/Dio (angio)","mastEvent ~ typeMonoOrDio"
"typeMonoOrDioPolygamous",-0.12927073659016,0.956215005582246,-0.135190031358529,0.892461628561577,0.110364177904811,"Mono/Dio (angio)","mastEvent ~ typeMonoOrDio"
"(Intercept)",1.91158088089993,0.453168361672332,4.21825758939922,2.46197466264312e-05,0.426587706292464,"Seed weight (conifer)","mastEvent ~ logSeedWeightStd"
"logSeedWeightStd",-0.0466017278447465,0.402629161574327,-0.115743548387127,0.907855791545181,0.426587706292464,"Seed weight (conifer)","mastEvent ~ logSeedWeightStd"
"(Intercept)",-0.215354194367564,0.276406789167645,-0.779120494891128,0.435908738269599,0.0628002967586328,"Seed weight (angio)","mastEvent ~ logSeedWeightStd"
